course_id,name,students,modules,assignments,pages,files,quizzes,total_res,avg_pv,avg_part,grade_mean,grade_std,pass_rate,all_r2,act_r2,has_model
86689,GESTIÓN DEL TALENTO-P01,40,28,54,100,100,7,289,660.9,2.5,43.4,5.1,0%,0.95,-0.11,*
86161,INGLÉS II-P01,26,38,36,100,100,0,274,375.5,0.3,-,-,-,-,-,
86153,PLANIFICACIÓN ESTRATÉGICA-P02,39,26,24,100,100,0,250,95.9,0.0,-,-,-,-,-,
86155,DERECHO TRIBUTARIO-P01,36,26,24,100,100,0,250,29.6,0.0,-,-,-,-,-,
86177,PLANIFICACIÓN ESTRATÉGICA-P01,29,26,24,100,100,0,250,91.4,0.0,-,-,-,-,-,
86179,DERECHO TRIBUTARIO-P02,28,26,24,100,100,0,250,60.3,0.0,-,-,-,-,-,
76755,PENSAMIENTO MATEMÁTICO-P03,44,19,21,100,100,0,240,509.0,0.4,-,-,-,-,-,
86676,FUND DE BUSINESS ANALYTICS-P01,40,15,24,100,100,0,239,663.2,2.5,22.9,24.6,22%,1.0,0.75,*
86677,MATEMÁTICAS PARA LOS NEGOCIOS-P01,43,20,18,100,100,0,238,310.0,0.5,-,-,-,-,-,
86686,MATEMÁTICAS PARA LOS NEGOCIOS-P03,41,19,18,100,100,0,237,495.2,0.4,-,-,-,-,-,
85822,LAB DE CONTABILIDAD Y COSTOS-P01,39,19,18,100,100,0,237,40.2,0.0,-,-,-,-,-,
86673,LAB DE CONTABILIDAD Y COSTOS-P04,39,19,18,100,100,0,237,162.8,0.0,-,-,-,-,-,
86005,TALL DE COMPETENCIAS DIGITALES-P01,50,4,17,100,100,12,233,766.4,12.2,43.2,12.9,2%,0.37,0.32,*
86020,TALL DE COMPETENCIAS DIGITALES-P02,51,4,17,100,100,12,233,747.7,11.8,37.8,16.7,0%,0.7,0.42,*
86670,FUND DE BUSINESS ANALYTICS-P02,39,14,18,96,100,0,228,513.1,2.2,-,-,-,-,-,
85825,GESTIÓN DEL TALENTO-P02,39,13,12,94,100,0,219,444.6,0.0,-,-,-,-,-,
86675,INGLÉS II-P03,28,19,18,63,100,0,200,207.9,0.2,-,-,-,-,-,
85481,PENSAMIENTO MATEMÁTICO-P05,17,10,1,2,55,2,70,435.9,0.9,-,-,-,-,-,
82725,LAB DE METOD CONT EV. CICLO-P03,23,16,0,2,46,2,66,625.9,0.0,-,-,-,-,-,
84947,EST APLIC A BUSINESS ANALYTICS-P04,36,9,2,2,47,2,62,342.6,1.5,-,-,-,-,-,
84939,EST APLIC A BUSINESS ANALYTICS-P01,25,11,0,2,43,2,58,326.7,1.0,-,-,-,-,-,
